"","rho","diff.2.5","diff.25","diff.50","diff.75","diff.97.5"
"30",0.31,-0.0429461711944461,-0.0192763776815859,-0.0099573757937805,-0.00244929600034226,0.0107689325017834
"31",0.32,-0.0444087526648617,-0.020423969977572,-0.0107454151924735,-0.00369032910235148,0.00904050183314821
"32",0.33,-0.0466783483011386,-0.0223345464034797,-0.012272866595346,-0.00452672440580976,0.00958470636799528
"33",0.34,-0.0476630827150266,-0.0243119831361808,-0.013491102544723,-0.00447271637686625,0.0121182728170526
"34",0.35,-0.0527882519258019,-0.026129810629844,-0.0146812353255096,-0.0050198671397742,0.0106212347746921
"35",0.36,-0.0546487385015304,-0.0270363934899207,-0.015666641841947,-0.00517625386695125,0.0112551020159941
"36",0.37,-0.05663643064649,-0.0304157149165952,-0.0175441174522385,-0.00727481390600877,0.0114001106697004
"37",0.38,-0.0559278018265858,-0.0297015809582788,-0.017649001709783,-0.00740298398305198,0.0120179405205914
"38",0.39,-0.0592326463776617,-0.0311501422746943,-0.0183822762477345,-0.00846278217130247,0.0115126229973215
"39",0.4,-0.066301957923008,-0.0314852704666757,-0.018778027933623,-0.00768942588558952,0.00959906065771252
"40",0.41,-0.0657908261680891,-0.0355600838957193,-0.022377612765145,-0.00962238545488077,0.0128447784798828
"41",0.42,-0.0672421841637748,-0.0348679464389348,-0.0215846365839185,-0.00900154739498077,0.00858799833916379
"42",0.43,-0.0735225000545994,-0.0369253520353218,-0.0230901955304725,-0.0115937322346195,0.00991403487127396
"43",0.44,-0.07117680930344,-0.040233079914595,-0.025181510047733,-0.0123647576604197,0.0115579820629972
"44",0.45,-0.0756693470764676,-0.043090811672796,-0.0269480757699645,-0.0127785947097352,0.0128529696534251
"45",0.46,-0.079535658134124,-0.0451981691524395,-0.029172378759402,-0.013668075966406,0.0169841022949292
"46",0.47,-0.0874546706509953,-0.0449347216317798,-0.028822859235106,-0.0122807236068655,0.0145283025555702
"47",0.48,-0.0864456576473786,-0.0496475737599082,-0.031520855146931,-0.0171537430770518,0.0110752018815253
"48",0.49,-0.0899503009949125,-0.0515025632963287,-0.031811050010928,-0.0175400380675905,0.0102843894578284
"49",0.5,-0.0926193443059699,-0.0540782990088165,-0.0360345698428985,-0.0184378414688105,0.0124359351216129
"50",0.51,-0.098302261715338,-0.0563249639451858,-0.0382359440489025,-0.0198041055604342,0.0113286615721809
"51",0.52,-0.100299226873462,-0.0580044099005777,-0.0382127921401575,-0.0198030197985662,0.0153167370308041
"52",0.53,-0.100933650143268,-0.0604310351126887,-0.0404174037774665,-0.0210337158307368,0.0122785193761678
"53",0.54,-0.108809460829069,-0.061505768590483,-0.0423954990948085,-0.0233993738900675,0.0157067788745333
"54",0.55,-0.114649800546924,-0.0701828921971265,-0.0481961002384655,-0.028988009251077,0.00574227792748116
"55",0.56,-0.119486191664257,-0.0703127851293658,-0.047532871537444,-0.0282244435670395,0.0108358363263635
"56",0.57,-0.121451866066115,-0.0738556725138733,-0.048520417672549,-0.0274176031218135,0.00843533934293119
"57",0.58,-0.123528896246522,-0.0771008958493225,-0.0518486542926185,-0.0299985065073308,0.00556330227541349
